stock,variable,year,mean,sd,lower,upper,status
Amblygaster sirm,b_div_bmsy,2021,1.85103261877368e-08,8.96254504509467,1.04277956747136e-11,0.691547419944222,Overfished
Anadara granosa,b_div_bmsy,2021,0.493910648475673,4.16466296075721,0.169087724373751,2.82438983706594,Overfished
Auxis rochei,b_div_bmsy,2021,3.24045009397649e-09,6.68986398957531,1.94684902673763e-11,0.125641041646786,Overfished
Auxis thazard,b_div_bmsy,2021,1.71699073168805e-06,10.9769172917841,1.80756175146982e-11,0.411650697821659,Overfished
Caesionidae,b_div_bmsy,2021,1.37346011323282,1.16803942583211,0.646221235606379,2.8236208918721,Underfished
Caranx spp,b_div_bmsy,2021,1.43370550976286,1.39346945873366,0.790577364754828,2.64496139854004,Underfished
Cephalopholis boenak,b_div_bmsy,2021,0.622447745802848,3.90182821599126,0.293251400306343,2.62699487913946,Overfished
Chirocentrus spp,b_div_bmsy,2021,8.98611824420846e-05,10.7038905284184,2.63826382265328e-11,0.892443715134471,Overfished
Decapterus spp,b_div_bmsy,2021,0.431881986895248,4.50971514326453,0.130149581939664,2.7224431956597,Overfished
Dussumieria acuta,b_div_bmsy,2021,0.0289129682392967,8.04032585776813,9.00270849956508e-11,3.00371604436686,Overfished
Elagatis bipinnulata,b_div_bmsy,2021,0.379791568892072,4.76007461355966,0.118941581771648,2.86444544819743,Overfished
Lactarius lactarius,b_div_bmsy,2021,1.28133452485107,1.31252650773973,0.502264747275288,3.13563448527714,Underfished
Megalaspis cordyla,b_div_bmsy,2021,1.04103784603218e-07,10.2332156133111,4.63092886959944e-11,0.442142615155436,Overfished
Mene maculata,b_div_bmsy,2021,0.112272070880849,6.86784476852763,2.26402494903284e-11,1.9954336064969,Overfished
Metapenaeus spp,b_div_bmsy,2021,0.856961766171625,3.0814166208988,0.420228877197739,2.67777420681459,Fully fished
Pampus argenteus,b_div_bmsy,2021,6.99991330239946e-07,12.1581877844537,6.05798780806984e-12,1.20080427944118,Overfished
Parastromateus niger,b_div_bmsy,2021,1.58957326941292,0.637304135117587,0.974911167535861,2.54495500916064,Underfished
Plectropomus leopardus,b_div_bmsy,2021,7.69468370754052e-06,10.760127224611,5.50627137862298e-11,0.609939624110371,Overfished
Portunus pelagicus,b_div_bmsy,2021,0.0487336080154431,7.72423907824695,3.19834989002905e-11,2.81345954481965,Overfished
Scomberoides spp,b_div_bmsy,2021,0.937742709429602,2.43882920854625,0.339599116339285,2.89601870729292,Fully fished
Scomberomorus commerson,b_div_bmsy,2021,1.52855092166725,0.353736961102649,0.855748587837108,2.5840472689187,Underfished
Scomberomorus spp,b_div_bmsy,2021,0.873948853884013,2.08975459207739,0.351083343748236,2.17179177368057,Fully fished
Scylla serrata,b_div_bmsy,2021,1.40838173288365,1.00846106634837,0.618089219212018,3.001817968813,Underfished
Selaroides leptolepis,b_div_bmsy,2021,0.0236198397122745,8.7431963231491,8.6523904530609e-12,1.8415963669784,Overfished
Sillaginidae,b_div_bmsy,2021,0.389970799409895,4.41737663336601,0.111826649373194,2.83912372388795,Overfished
Sphyraena barracuda,b_div_bmsy,2021,0.936435366522814,2.24980559659615,0.279824344893156,3.34068235641483,Fully fished
Thunnus tonggol,b_div_bmsy,2021,1.30741175985929e-09,5.10038976391343,2.07572772512453e-11,0.00609339308272916,Overfished
Tylosurus spp,b_div_bmsy,2021,2.28192570702162e-10,7.71269272614002,8.26588962118236e-12,0.302021643354541,Overfished
Upeneus spp,b_div_bmsy,2021,1.50750389479252,0.906019856918548,0.797707022575271,2.7005913093831,Underfished
